id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita,satuan,tahun,jenis_penderita
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,57769.0,ORANG,2019,Diabetes
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,148447.0,ORANG,2019,Diabetes
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12100.0,ORANG,2019,Diabetes
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45412.0,ORANG,2019,Diabetes
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,ORANG,2019,Diabetes
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10930.0,ORANG,2019,Diabetes
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69113.0,ORANG,2019,Diabetes
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,31582.0,ORANG,2019,Diabetes
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,21981.0,ORANG,2019,Diabetes
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12915.0,ORANG,2019,Diabetes
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,ORANG,2019,Diabetes
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5504.0,ORANG,2019,Diabetes
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,21691.0,ORANG,2019,Diabetes
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11783.0,ORANG,2019,Diabetes
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,149537.0,ORANG,2019,Diabetes
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,89055.0,ORANG,2019,Diabetes
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,ORANG,2019,Diabetes
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,ORANG,2019,Diabetes
19,32,JAWA BARAT,3271,KOTA BOGOR,12273.0,ORANG,2019,Diabetes
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,ORANG,2019,Diabetes
21,32,JAWA BARAT,3273,KOTA BANDUNG,45430.0,ORANG,2019,Diabetes
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,ORANG,2019,Diabetes
23,32,JAWA BARAT,3275,KOTA BEKASI,42517.0,ORANG,2019,Diabetes
24,32,JAWA BARAT,3276,KOTA DEPOK,48899.0,ORANG,2019,Diabetes
25,32,JAWA BARAT,3277,KOTA CIMAHI,9571.0,ORANG,2019,Diabetes
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,ORANG,2019,Diabetes
27,32,JAWA BARAT,3279,KOTA BANJAR,1946.0,ORANG,2019,Diabetes
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,71462.0,ORANG,2020,Diabetes
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37523.0,ORANG,2020,Diabetes
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14208.0,ORANG,2020,Diabetes
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32847.0,ORANG,2020,Diabetes
32,32,JAWA BARAT,3205,KABUPATEN GARUT,17732.0,ORANG,2020,Diabetes
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15049.0,ORANG,2020,Diabetes
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79252.0,ORANG,2020,Diabetes
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17663.0,ORANG,2020,Diabetes
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,22345.0,ORANG,2020,Diabetes
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13024.0,ORANG,2020,Diabetes
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79656.0,ORANG,2020,Diabetes
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30709.0,ORANG,2020,Diabetes
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,16830.0,ORANG,2020,Diabetes
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12405.0,ORANG,2020,Diabetes
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,139392.0,ORANG,2020,Diabetes
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,242169.0,ORANG,2020,Diabetes
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17009.0,ORANG,2020,Diabetes
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16376.0,ORANG,2020,Diabetes
46,32,JAWA BARAT,3271,KOTA BOGOR,19694.0,ORANG,2020,Diabetes
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2465.0,ORANG,2020,Diabetes
48,32,JAWA BARAT,3273,KOTA BANDUNG,43906.0,ORANG,2020,Diabetes
49,32,JAWA BARAT,3274,KOTA CIREBON,20834.0,ORANG,2020,Diabetes
50,32,JAWA BARAT,3275,KOTA BEKASI,44714.0,ORANG,2020,Diabetes
51,32,JAWA BARAT,3276,KOTA DEPOK,50631.0,ORANG,2020,Diabetes
52,32,JAWA BARAT,3277,KOTA CIMAHI,9716.0,ORANG,2020,Diabetes
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8906.0,ORANG,2020,Diabetes
54,32,JAWA BARAT,3279,KOTA BANJAR,2340.0,ORANG,2020,Diabetes
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,61139.0,ORANG,2021,Diabetes
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37523.0,ORANG,2021,Diabetes
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14694.0,ORANG,2021,Diabetes
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82787.0,ORANG,2021,Diabetes
59,32,JAWA BARAT,3205,KABUPATEN GARUT,43698.0,ORANG,2021,Diabetes
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15506.0,ORANG,2021,Diabetes
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,34730.0,ORANG,2021,Diabetes
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17663.0,ORANG,2021,Diabetes
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,22465.0,ORANG,2021,Diabetes
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13469.0,ORANG,2021,Diabetes
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,64920.0,ORANG,2021,Diabetes
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30136.0,ORANG,2021,Diabetes
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,27375.0,ORANG,2021,Diabetes
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11962.0,ORANG,2021,Diabetes
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,153547.0,ORANG,2021,Diabetes
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,37185.0,ORANG,2021,Diabetes
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17009.0,ORANG,2021,Diabetes
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6708.0,ORANG,2021,Diabetes
73,32,JAWA BARAT,3271,KOTA BOGOR,17042.0,ORANG,2021,Diabetes
74,32,JAWA BARAT,3272,KOTA SUKABUMI,19258.0,ORANG,2021,Diabetes
75,32,JAWA BARAT,3273,KOTA BANDUNG,43761.0,ORANG,2021,Diabetes
76,32,JAWA BARAT,3274,KOTA CIREBON,18160.0,ORANG,2021,Diabetes
77,32,JAWA BARAT,3275,KOTA BEKASI,54661.0,ORANG,2021,Diabetes
78,32,JAWA BARAT,3276,KOTA DEPOK,50631.0,ORANG,2021,Diabetes
79,32,JAWA BARAT,3277,KOTA CIMAHI,9716.0,ORANG,2021,Diabetes
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9729.0,ORANG,2021,Diabetes
81,32,JAWA BARAT,3279,KOTA BANJAR,10201.0,ORANG,2021,Diabetes
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,63978.0,ORANG,2022,Diabetes
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,17981.0,ORANG,2022,Diabetes
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15941.0,ORANG,2022,Diabetes
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45465.0,ORANG,2022,Diabetes
86,32,JAWA BARAT,3205,KABUPATEN GARUT,22594.0,ORANG,2022,Diabetes
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21129.0,ORANG,2022,Diabetes
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16847.0,ORANG,2022,Diabetes
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21782.0,ORANG,2022,Diabetes
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,23174.0,ORANG,2022,Diabetes
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,14164.0,ORANG,2022,Diabetes
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,23340.0,ORANG,2022,Diabetes
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,33131.0,ORANG,2022,Diabetes
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,27005.0,ORANG,2022,Diabetes
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14022.0,ORANG,2022,Diabetes
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36259.0,ORANG,2022,Diabetes
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,39992.0,ORANG,2022,Diabetes
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19675.0,ORANG,2022,Diabetes
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5097.0,ORANG,2022,Diabetes
100,32,JAWA BARAT,3271,KOTA BOGOR,19570.0,ORANG,2022,Diabetes
101,32,JAWA BARAT,3272,KOTA SUKABUMI,5521.0,ORANG,2022,Diabetes
102,32,JAWA BARAT,3273,KOTA BANDUNG,44329.0,ORANG,2022,Diabetes
103,32,JAWA BARAT,3274,KOTA CIREBON,9008.0,ORANG,2022,Diabetes
104,32,JAWA BARAT,3275,KOTA BEKASI,42984.0,ORANG,2022,Diabetes
105,32,JAWA BARAT,3276,KOTA DEPOK,38479.0,ORANG,2022,Diabetes
106,32,JAWA BARAT,3277,KOTA CIMAHI,9863.0,ORANG,2022,Diabetes
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10997.0,ORANG,2022,Diabetes
108,32,JAWA BARAT,3279,KOTA BANJAR,2377.0,ORANG,2022,Diabetes
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,65620.0,ORANG,2023,Diabetes
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14180.0,ORANG,2023,Diabetes
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13398.0,ORANG,2023,Diabetes
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,59205.0,ORANG,2023,Diabetes
113,32,JAWA BARAT,3205,KABUPATEN GARUT,16367.0,ORANG,2023,Diabetes
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30058.0,ORANG,2023,Diabetes
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14976.0,ORANG,2023,Diabetes
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18614.0,ORANG,2023,Diabetes
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,14055.0,ORANG,2023,Diabetes
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12096.0,ORANG,2023,Diabetes
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20443.0,ORANG,2023,Diabetes
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31964.0,ORANG,2023,Diabetes
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,25530.0,ORANG,2023,Diabetes
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13201.0,ORANG,2023,Diabetes
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36926.0,ORANG,2023,Diabetes
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,39979.0,ORANG,2023,Diabetes
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15874.0,ORANG,2023,Diabetes
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7110.0,ORANG,2023,Diabetes
127,32,JAWA BARAT,3271,KOTA BOGOR,17445.0,ORANG,2023,Diabetes
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4336.0,ORANG,2023,Diabetes
129,32,JAWA BARAT,3273,KOTA BANDUNG,41413.0,ORANG,2023,Diabetes
130,32,JAWA BARAT,3274,KOTA CIREBON,21231.0,ORANG,2023,Diabetes
131,32,JAWA BARAT,3275,KOTA BEKASI,43257.0,ORANG,2023,Diabetes
132,32,JAWA BARAT,3276,KOTA DEPOK,43929.0,ORANG,2023,Diabetes
133,32,JAWA BARAT,3277,KOTA CIMAHI,10016.0,ORANG,2023,Diabetes
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11782.0,ORANG,2023,Diabetes
135,32,JAWA BARAT,3279,KOTA BANJAR,2385.0,ORANG,2023,Diabetes
136,32,JAWA BARAT,3279,KOTA BANJAR,65751.0,ORANG,2024,Diabetes
137,32,JAWA BARAT,3279,KOTA BANJAR,16011.0,ORANG,2024,Diabetes
138,32,JAWA BARAT,3279,KOTA BANJAR,15838.0,ORANG,2024,Diabetes
139,32,JAWA BARAT,3279,KOTA BANJAR,44200.0,ORANG,2024,Diabetes
140,32,JAWA BARAT,3279,KOTA BANJAR,24348.0,ORANG,2024,Diabetes
141,32,JAWA BARAT,3279,KOTA BANJAR,16386.0,ORANG,2024,Diabetes
142,32,JAWA BARAT,3279,KOTA BANJAR,14906.0,ORANG,2024,Diabetes
143,32,JAWA BARAT,3279,KOTA BANJAR,20252.0,ORANG,2024,Diabetes
144,32,JAWA BARAT,3279,KOTA BANJAR,19300.0,ORANG,2024,Diabetes
145,32,JAWA BARAT,3279,KOTA BANJAR,12502.0,ORANG,2024,Diabetes
146,32,JAWA BARAT,3279,KOTA BANJAR,21005.0,ORANG,2024,Diabetes
147,32,JAWA BARAT,3279,KOTA BANJAR,66896.0,ORANG,2024,Diabetes
148,32,JAWA BARAT,3279,KOTA BANJAR,26290.0,ORANG,2024,Diabetes
149,32,JAWA BARAT,3279,KOTA BANJAR,14348.0,ORANG,2024,Diabetes
150,32,JAWA BARAT,3279,KOTA BANJAR,38805.0,ORANG,2024,Diabetes
151,32,JAWA BARAT,3279,KOTA BANJAR,38666.0,ORANG,2024,Diabetes
152,32,JAWA BARAT,3279,KOTA BANJAR,15911.0,ORANG,2024,Diabetes
153,32,JAWA BARAT,3279,KOTA BANJAR,7312.0,ORANG,2024,Diabetes
154,32,JAWA BARAT,3279,KOTA BANJAR,17912.0,ORANG,2024,Diabetes
155,32,JAWA BARAT,3279,KOTA BANJAR,5255.0,ORANG,2024,Diabetes
156,32,JAWA BARAT,3279,KOTA BANJAR,42042.0,ORANG,2024,Diabetes
157,32,JAWA BARAT,3279,KOTA BANJAR,9524.0,ORANG,2024,Diabetes
158,32,JAWA BARAT,3279,KOTA BANJAR,46481.0,ORANG,2024,Diabetes
159,32,JAWA BARAT,3279,KOTA BANJAR,44061.0,ORANG,2024,Diabetes
160,32,JAWA BARAT,3279,KOTA BANJAR,10021.0,ORANG,2024,Diabetes
161,32,JAWA BARAT,3279,KOTA BANJAR,11782.0,ORANG,2024,Diabetes
162,32,JAWA BARAT,3279,KOTA BANJAR,2415.0,ORANG,2024,Diabetes
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,830741.0,ORANG,2019,Hipertensi
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556688.0,ORANG,2019,Hipertensi
