id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_hipertensi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,830741.0,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556688.0,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,146150.0,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,192787.0,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70587.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165418.0,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,678232.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60110.0,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34641.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,62345.0,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,99957.0,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,116345.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,180694.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,49891.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,44109.0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,109626.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,115089.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,153560.0,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,128259.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,22782.0,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,975300.0,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,476574.0,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,400822.0,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504.0,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,139743.0,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69706.0,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68736.0,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272.0,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,174538.0,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,146231.0,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,270225.0,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,42438.0,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,73555.0,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52994.0,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,141053.0,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,97434.0,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,74814.0,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,53635.0,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,60271.0,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,132662.0,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,136633.0,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,72189.0,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,139331.0,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,66240.0,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63385.0,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,13090.0,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,986323.0,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,471373.0,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,134573.0,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504.0,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,255443.0,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86176.0,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,136437.0,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272.0,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,73173.0,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,127852.0,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,244911.0,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,302830.0,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,117010.0,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138881.0,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,337541.0,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,62507.0,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73240.0,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,84412.0,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,56411.0,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,70857.0,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,132662.0,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,77481.0,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,78170.0,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,167199.0,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,66240.0,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,110862.0,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,27776.0,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,12185.0,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556178.0,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58089.0,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,397464.0,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,160510.0,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5211.0,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,135511.0,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9521.0,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,29798.0,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13181.0,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20495.0,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9413.0,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,26554.0,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2914.0,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,29475.0,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,32140.0,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7303.0,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,80282.0,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,18737.0,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,22026.0,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,65357.0,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,11533.0,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,43665.0,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,180368.0,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,8542.0,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9124.0,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,10841.0,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,7775.0,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,175867.0,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,411638.0,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,360106.0,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,106219.0,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,91707.0,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94321.0,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82946.0,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,15735.0,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69401.0,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73113.0,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,555759.0,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,82954.0,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67812.0,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,124791.0,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,158638.0,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,76325.0,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,30522.0,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,82311.0,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,22090.0,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,68847.0,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,90805.0,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,124660.0,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,106429.0,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,56173.0,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,55999.0,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,19129.0,ORANG,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,182707.0,ORANG,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,193923.0,ORANG,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61886.0,ORANG,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,332683.0,ORANG,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,117271.0,ORANG,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28257.0,ORANG,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63302.0,ORANG,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81594.0,ORANG,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,46016.0,ORANG,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,116939.0,ORANG,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,121808.0,ORANG,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19378.0,ORANG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,96037.0,ORANG,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,40123.0,ORANG,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,99699.0,ORANG,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,47037.0,ORANG,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,44125.0,ORANG,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28996.0,ORANG,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,89726.0,ORANG,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,37136.0,ORANG,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,208287.0,ORANG,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,24065.0,ORANG,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,136004.0,ORANG,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,152907.0,ORANG,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,41215.0,ORANG,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61450.0,ORANG,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,111.22,PERSEN,2024
